id,customer_id,bank,type,valid_month,valid_year,expiry_month,expiry_year,card_no,card_limit
46,46,"Bank of America","VISA",1,2003,3,2022,"4725-4861-8939-9580",183425
47,47,"JPMorgan Chase","VISA",7,2004,8,2021,"4725-4840-4105-3400",495619
48,48,"Bank of America","AMEX",3,2002,7,2020,"4725-4988-4426-3049",66964
49,49,"Goldman Sachs","VISA",4,2002,11,2022,"5214-9034-9783-2545",565688
50,50,"Bank of America","AMEX",8,2004,1,2019,"4329-6713-8998-7441",342680
51,51,"Bank of America","VISA",7,2000,5,2020,"2678-5653-5667-7002",281554
52,52,"Bank of America","VISA",6,2002,8,2018,"4725-6950-8431-3125",175714
53,53,"Bank of America","VISA",9,2003,11,2022,"2678-7181-6464-6638",377412
54,54,"Citibank","VISA",7,2002,11,2019,"5214-9477-1843-7444",540860
55,55,"JPMorgan Chase","VISA",11,2004,11,2018,"4823-3445-5991-1281",242902
56,56,"JPMorgan Chase","MASTER",4,2003,4,2021,"5873-4312-5403-1167",260542
57,57,"Wells Fargo","VISA",11,2003,6,2022,"4823-5660-3046-4744",766654
58,58,"Citibank","VISA",5,2004,4,2018,"5119-8148-3955-2146",695049
59,59,"Bank of America","VISA",11,2000,11,2019,"4823-8803-6605-3808",50299
60,60,"Wells Fargo","VISA",11,2003,7,2021,"5214-7855-6578-2627",503722
61,61,"Morgan Stanley","VISA",6,2001,8,2019,"4823-2375-8238-6878",676039
62,62,"Bank of America","VISA",2,2001,2,2020,"5119-4974-7581-6261",558320
63,63,"JPMorgan Chase","VISA",8,2004,9,2019,"2678-6312-2529-4866",107762
64,64,"JPMorgan Chase","VISA",1,2004,1,2019,"2678-5859-7133-4106",475518
65,65,"Bank of America","VISA",6,2004,6,2020,"2678-3396-9452-9344",728747
66,66,"Bank of America","AMEX",9,2000,1,2020,"5119-8280-9340-5321",205443
67,67,"US Bancorp","VISA",3,2002,4,2019,"5214-5302-3574-9011",710746
68,68,"Citibank","VISA",11,2003,6,2022,"5214-8017-7841-6856",795648
69,69,"Bank of America","MASTER",9,2004,2,2021,"3768-7691-1943-3236",617155
70,70,"JPMorgan Chase","VISA",4,2004,2,2018,"3768-6658-7998-4756",857054
71,71,"JPMorgan Chase","VISA",8,2003,9,2018,"4725-5122-9702-7889",791260
72,72,"Wells Fargo","VISA",10,2003,9,2018,"5873-3736-3245-1534",948028
73,73,"Wells Fargo","AMEX",1,2001,1,2021,"5119-4558-4784-8692",838334
74,74,"US Bancorp","VISA",1,2003,9,2018,"5214-2757-3898-9254",159177
75,75,"Citibank","AMEX",6,2004,5,2018,"3768-9933-9679-3501",187736
76,76,"Morgan Stanley","MASTER",9,2003,4,2021,"2678-8731-1998-2793",442342
77,77,"Bank of America","VISA",3,2000,10,2019,"5214-8073-4782-3340",21737
78,78,"JPMorgan Chase","MASTER",6,2004,6,2022,"5119-7293-4605-1337",447430
79,79,"Wells Fargo","VISA",9,2001,5,2020,"4329-2988-5813-2464",526042
80,80,"Bank of America","VISA",6,2000,7,2022,"2678-8609-8913-1572",760190
81,81,"US Bancorp","VISA",5,2002,8,2019,"4725-1395-6355-8285",260538
82,82,"US Bancorp","VISA",3,2001,6,2018,"5119-1724-8421-3254",752920
83,83,"Wells Fargo","MASTER",11,2000,9,2021,"5119-3497-2636-6061",210627
84,84,"JPMorgan Chase","VISA",1,2001,1,2021,"3768-8779-7843-8468",370186
85,85,"Bank of America","VISA",2,2003,2,2022,"4725-7057-7908-4822",718708
86,86,"Bank of America","VISA",2,2001,3,2021,"5214-2826-7620-5883",470724
87,87,"Bank of America","VISA",7,2001,11,2022,"4725-1652-3634-6354",683632
88,88,"Morgan Stanley","VISA",5,2004,6,2018,"3768-4281-7947-5355",293887
89,89,"Citibank","VISA",2,2004,5,2022,"5214-5008-1542-4945",976440
90,90,"Bank of America","VISA",4,2004,2,2019,"5214-5640-8775-5859",312090
91,91,"Citibank","MASTER",8,2001,2,2018,"5873-9920-4517-6898",862300
92,92,"JPMorgan Chase","VISA",1,2002,8,2021,"5119-6486-5615-3354",320234
93,93,"JPMorgan Chase","VISA",9,2003,5,2021,"2678-7728-6475-5296",464518
94,94,"JPMorgan Chase","VISA",10,2003,1,2019,"5214-4718-8717-9868",422893
95,95,"Citibank","VISA",9,2001,9,2021,"5119-7318-5621-4901",566529
96,96,"JPMorgan Chase","VISA",3,2004,7,2020,"5119-8234-2264-4879",366943
97,97,"Morgan Stanley","VISA",9,2002,6,2020,"4725-7633-4023-8776",956025
98,98,"Wells Fargo","VISA",3,2002,6,2018,"4725-9996-4209-2817",301256
99,99,"JPMorgan Chase","VISA",10,2002,1,2021,"5214-4130-8795-9929",877436
100,100,"JPMorgan Chase","MASTER",9,2002,10,2021,"4823-1249-3296-1272",55209
101,101,"Citibank","VISA",11,2002,8,2020,"5119-5572-2332-5151",380059
102,102,"JPMorgan Chase","VISA",6,2002,8,2021,"3768-7230-2494-5971",588037
103,103,"PNC Financial Services","MASTER",5,2002,4,2020,"2678-3551-5604-8449",840548
104,104,"Citibank","VISA",4,2000,9,2018,"4725-3481-9351-9441",890736
105,105,"Citibank","VISA",8,2002,8,2018,"5214-3011-7764-7981",47789
106,106,"Citibank","VISA",1,2003,5,2019,"4725-3463-4987-6911",67089
107,107,"Citibank","VISA",9,2002,2,2018,"4823-4322-4761-6075",867717
108,108,"Wells Fargo","VISA",5,2002,6,2021,"4823-5783-7101-4837",229459
109,109,"JPMorgan Chase","VISA",6,2002,10,2022,"4329-4264-5221-7153",893817
110,110,"Bank of America","MASTER",10,2004,4,2018,"4823-1518-6779-1748",575843
111,111,"Citibank","VISA",10,2000,6,2019,"3768-3764-9742-2321",221492
112,112,"Citibank","VISA",5,2001,3,2019,"5214-8841-6584-8567",222568
113,113,"Citibank","VISA",7,2001,6,2018,"5119-8350-9245-7805",122687
114,114,"Citibank","MASTER",4,2002,8,2020,"4823-2884-4773-9373",238517
115,115,"Citibank","VISA",11,2002,5,2021,"5214-2370-6416-9665",467326
116,116,"Bank of America","AMEX",11,2000,5,2020,"2678-4060-2000-3202",861043
117,117,"Wells Fargo","MASTER",6,2002,7,2018,"4725-3540-1477-2543",741263
118,118,"Wells Fargo","VISA",2,2004,9,2022,"4823-2503-1393-2818",665362
119,119,"Morgan Stanley","VISA",7,2004,7,2019,"5873-3177-2944-1534",244977
120,120,"Citibank","VISA",6,2000,5,2020,"5119-8215-4304-5450",102359
121,121,"Wells Fargo","VISA",10,2000,4,2020,"5119-3835-9951-7584",436046
122,122,"Citibank","VISA",9,2000,4,2022,"5214-2670-9393-4118",870098
123,123,"Wells Fargo","AMEX",2,2000,8,2018,"5214-2011-8322-4142",895971
124,124,"JPMorgan Chase","VISA",5,2002,11,2020,"5214-5790-2706-4615",856064
125,125,"Goldman Sachs","VISA",8,2001,9,2022,"4725-5959-6868-6734",72152
126,126,"Citibank","VISA",8,2002,4,2018,"4725-4653-5977-8254",307635
127,127,"Bank of America","MASTER",5,2004,7,2022,"4329-3484-8913-3342",166971
128,128,"Wells Fargo","VISA",5,2002,6,2022,"3768-2081-7636-2651",523840
129,129,"Bank of America","MASTER",1,2003,2,2019,"5214-5610-6674-8049",844351
130,130,"Bank of America","MASTER",11,2002,9,2019,"3768-3222-9634-1976",710878
131,131,"Bank of America","VISA",7,2003,1,2018,"2678-8259-8168-8848",788647
132,132,"Citibank","VISA",5,2003,8,2019,"4725-9556-6543-8876",646610
133,133,"Bank of America","VISA",10,2001,10,2020,"4823-8591-2495-8127",330345
134,134,"Bank of America","AMEX",7,2000,11,2020,"4725-3760-2128-2778",828113
135,135,"JPMorgan Chase","VISA",5,2000,1,2022,"5214-8798-4707-9870",706192
136,136,"Morgan Stanley","VISA",6,2004,4,2021,"4725-7135-7608-3697",571510
137,137,"JPMorgan Chase","MASTER",11,2004,10,2021,"4329-5238-5817-6051",521225
138,138,"Morgan Stanley","VISA",5,2001,8,2020,"5119-2257-7041-9267",375908
139,139,"Bank of America","VISA",9,2004,9,2019,"4823-2313-6712-6691",48919
140,140,"Citibank","VISA",3,2002,8,2018,"5214-6867-9706-7034",113905
141,141,"Bank of America","VISA",11,2003,8,2020,"4725-8093-3285-7854",321950
142,142,"JPMorgan Chase","VISA",7,2001,3,2018,"4823-2988-4258-1868",965695
143,143,"JPMorgan Chase","VISA",7,2003,10,2020,"4823-5260-1210-5363",313563
144,144,"JPMorgan Chase","VISA",2,2002,5,2018,"4725-2773-2614-1142",359262
145,145,"Goldman Sachs","VISA",3,2000,1,2020,"4725-8877-9709-4732",424986
146,146,"Goldman Sachs","MASTER",3,2001,11,2021,"5214-4790-9206-2404",957317
147,147,"Citibank","VISA",2,2002,8,2021,"4823-6338-6012-3507",369786
148,148,"JPMorgan Chase","VISA",1,2003,6,2018,"4823-9884-5026-3129",271641
149,149,"PNC Financial Services","MASTER",11,2001,9,2019,"2678-5365-2510-4108",78872
150,150,"US Bancorp","MASTER",4,2004,3,2021,"4823-2368-2692-4488",895943
151,151,"Bank of America","VISA",6,2001,9,2019,"4725-2870-5480-2225",410903
152,152,"Bank of America","VISA",11,2004,9,2020,"4823-6067-7995-3001",518816
153,153,"Wells Fargo","VISA",5,2000,4,2018,"5873-3361-8538-5346",458151
154,154,"JPMorgan Chase","MASTER",9,2003,9,2022,"5214-3082-7169-1033",362643
155,155,"Citibank","AMEX",7,2001,10,2018,"4725-1195-5819-1484",686738
156,156,"JPMorgan Chase","MASTER",3,2004,5,2022,"4823-7863-9888-7967",267475
157,157,"JPMorgan Chase","VISA",11,2000,5,2022,"5214-9056-8227-1359",46798
158,158,"Citibank","MASTER",9,2001,1,2022,"3768-8985-6751-5561",28574
159,159,"Bank of America","VISA",2,2000,8,2022,"5214-5579-3127-4662",477503
160,160,"US Bancorp","VISA",6,2004,6,2019,"4725-1019-7697-6879",168035
161,161,"JPMorgan Chase","MASTER",5,2001,7,2019,"4725-4897-9387-7852",670764
162,162,"Wells Fargo","AMEX",4,2003,6,2021,"3768-1366-1971-3941",886816
163,163,"Goldman Sachs","VISA",7,2003,4,2021,"5214-9052-7931-9645",987989
164,164,"Bank of America","VISA",1,2001,4,2019,"5214-7536-2811-7299",962625
165,165,"Goldman Sachs","VISA",3,2002,9,2020,"5214-3414-7065-6310",395308
166,166,"Citibank","MASTER",9,2000,7,2019,"4725-9330-4371-7295",343382
167,167,"JPMorgan Chase","VISA",9,2000,3,2021,"3768-4131-7401-9061",350586
168,168,"Citibank","MASTER",8,2001,1,2021,"5119-3302-9931-9436",590058
169,169,"Bank of America","VISA",1,2003,5,2019,"4725-1832-4678-2241",643555
170,170,"Citibank","VISA",3,2004,11,2022,"4725-7675-5475-4285",22918
171,171,"JPMorgan Chase","VISA",4,2001,7,2020,"5214-9666-2735-7280",582266
172,172,"Citibank","VISA",4,2002,6,2019,"4725-4109-3728-7437",831287
173,173,"JPMorgan Chase","VISA",8,2003,3,2020,"4725-3329-9500-9354",321230
174,174,"Wells Fargo","VISA",4,2004,10,2020,"4823-4430-4682-1957",301874
175,175,"Goldman Sachs","VISA",11,2004,9,2022,"2678-3315-1934-9284",274287
176,176,"Citibank","VISA",10,2002,4,2018,"4725-5249-7762-7234",803146
177,177,"Bank of America","VISA",3,2003,1,2020,"5873-1304-6032-8439",182827
178,178,"Citibank","VISA",2,2002,9,2018,"3768-6095-3282-3416",615885
179,179,"Citibank","VISA",4,2002,1,2020,"5214-5559-1709-6738",239176
180,180,"Goldman Sachs","VISA",1,2000,1,2020,"4823-4263-4398-1193",881022
181,181,"Wells Fargo","VISA",2,2003,8,2021,"5214-6911-8943-9403",944160
182,182,"Goldman Sachs","MASTER",3,2002,4,2019,"5214-7043-3837-4558",466880
183,183,"Citibank","VISA",10,2003,1,2021,"5214-6201-1565-5375",394516
184,184,"JPMorgan Chase","AMEX",8,2004,8,2022,"3768-1052-7159-6495",574881
185,185,"Citibank","MASTER",9,2000,5,2018,"4725-1372-6007-4704",15570
186,186,"Bank of America","VISA",5,2004,2,2020,"5873-1322-6026-1984",613000
187,187,"Citibank","AMEX",4,2001,4,2019,"4823-2257-3767-1877",660951
188,188,"Bank of America","AMEX",11,2003,7,2018,"4329-1297-3346-5595",247117
189,189,"Wells Fargo","VISA",9,2001,2,2020,"4823-1123-6824-1382",177866
190,190,"Bank of America","VISA",3,2004,11,2022,"4823-4517-4669-9625",306902
191,191,"Citibank","VISA",8,2003,2,2021,"3768-7999-9503-8109",982095
192,192,"Citibank","VISA",10,2002,2,2020,"5873-5167-1709-9581",252350
193,193,"Morgan Stanley","VISA",2,2000,2,2018,"2678-5216-7320-2342",682217
194,194,"JPMorgan Chase","VISA",7,2001,10,2022,"4329-6940-4373-9763",535003
195,195,"US Bancorp","VISA",7,2004,3,2021,"3768-5042-2133-7973",909449
196,196,"Citibank","VISA",7,2004,2,2022,"2678-2052-1635-7627",867403
197,197,"JPMorgan Chase","AMEX",8,2002,5,2018,"2678-2927-5528-6235",725981
198,198,"Bank of America","VISA",2,2000,7,2018,"5119-3663-9539-3208",472766
199,199,"JPMorgan Chase","VISA",10,2002,9,2019,"2678-2388-9797-4683",753057
200,200,"Bank of America","VISA",7,2004,5,2020,"5214-9177-6450-3189",279763
201,201,"JPMorgan Chase","MASTER",8,2003,3,2022,"4823-8390-6572-7255",690769
202,202,"JPMorgan Chase","AMEX",11,2001,11,2018,"5873-4185-8723-9385",53607
203,203,"Citibank","VISA",11,2002,6,2021,"4725-3812-2028-1491",430920
204,204,"Citibank","VISA",1,2000,1,2021,"4725-7399-8315-2297",876765
205,205,"JPMorgan Chase","VISA",2,2003,3,2018,"4823-6137-9828-6571",515910
206,206,"Wells Fargo","MASTER",1,2003,2,2020,"4823-3657-1248-6190",668900
207,207,"Citibank","VISA",9,2000,4,2021,"4823-8139-5978-2360",85404
208,208,"Citibank","VISA",7,2001,11,2020,"4329-6050-1301-5609",258287
209,209,"Citibank","VISA",8,2001,5,2018,"4725-4145-1410-6312",981395
210,210,"JPMorgan Chase","MASTER",9,2002,7,2022,"4725-1374-9048-2683",504122
211,211,"Goldman Sachs","VISA",8,2003,1,2022,"5119-8762-8765-4191",58383
212,212,"JPMorgan Chase","VISA",5,2000,2,2021,"5119-9547-7089-5387",458646
213,213,"Bank of America","AMEX",5,2002,4,2020,"4329-3861-8765-2179",897344
214,214,"JPMorgan Chase","VISA",10,2002,6,2021,"5119-7223-4403-6666",169388
215,215,"Citibank","MASTER",7,2002,7,2020,"2678-7620-2740-8542",753876
216,216,"Morgan Stanley","MASTER",4,2003,7,2021,"2678-7189-1308-8914",620440
217,217,"Citibank","VISA",1,2004,4,2020,"4725-6396-2626-3662",49273
218,218,"Citibank","VISA",9,2001,9,2021,"4823-7186-3252-7141",892528
219,219,"Bank of America","VISA",2,2003,8,2020,"5873-1656-9097-8188",62468
220,220,"Citibank","VISA",1,2002,2,2021,"3768-5692-4624-2248",291868
221,221,"Bank of America","VISA",8,2000,5,2022,"3768-6651-1499-6122",559183
222,222,"Morgan Stanley","VISA",8,2004,10,2019,"4725-1801-4135-6522",920310
223,223,"Citibank","MASTER",8,2001,2,2018,"2678-7253-9164-8424",404447
224,224,"Bank of America","MASTER",3,2000,4,2018,"5214-7841-7472-3302",176532
225,225,"Citibank","VISA",7,2002,11,2020,"2678-8856-9769-3856",14056
226,226,"Citibank","MASTER",7,2001,5,2022,"5873-5063-7380-6315",98015
227,227,"Bank of America","VISA",5,2000,9,2019,"4823-8760-9376-5188",329480
228,228,"Citibank","VISA",8,2001,8,2020,"5119-9983-9272-2933",284576
229,229,"Citibank","VISA",1,2001,5,2020,"4725-6301-3448-4100",814962
230,230,"Citibank","VISA",1,2000,11,2021,"4329-1486-8989-3922",644708
231,231,"Goldman Sachs","MASTER",10,2001,10,2020,"5214-7177-4827-1751",729548
232,232,"JPMorgan Chase","MASTER",9,2001,5,2019,"5214-9060-8143-6535",737360
233,233,"US Bancorp","VISA",7,2003,6,2020,"4329-5789-9371-8536",803128
234,234,"JPMorgan Chase","VISA",7,2002,9,2022,"4725-3177-3784-7726",588789
235,235,"Bank of America","MASTER",4,2002,3,2019,"2678-9850-1412-5913",534542
236,236,"Citibank","VISA",9,2002,4,2019,"4725-3063-3564-1913",903047
237,237,"Wells Fargo","VISA",9,2002,11,2021,"2678-2274-1930-4371",757455
238,238,"Goldman Sachs","VISA",4,2002,8,2021,"5873-4390-3177-9442",462989
239,239,"JPMorgan Chase","VISA",4,2004,8,2020,"5873-5814-3958-8615",954283
240,240,"Morgan Stanley","MASTER",9,2003,3,2022,"4725-4047-1799-2110",181555
241,241,"JPMorgan Chase","VISA",3,2004,4,2020,"5873-5694-4779-2966",690343
242,242,"Citibank","MASTER",7,2003,8,2021,"3768-8008-3972-1486",744974
243,243,"Citibank","VISA",2,2004,8,2019,"4725-4490-7589-3077",830831
244,244,"Citibank","VISA",6,2004,4,2021,"5873-8613-3341-4331",30284
245,245,"JPMorgan Chase","MASTER",4,2003,2,2018,"5873-1450-5898-6278",968434
246,246,"Morgan Stanley","VISA",4,2001,11,2018,"4329-2777-3420-7574",855860
247,247,"JPMorgan Chase","VISA",2,2004,2,2019,"4725-8295-5444-5354",972986
248,248,"Bank of America","VISA",2,2004,1,2019,"4725-3390-6582-7548",784897
249,249,"Bank of America","VISA",1,2002,2,2020,"4823-4375-7204-4990",165202
250,250,"Citibank","VISA",9,2001,11,2018,"5214-3058-5769-6294",247200
251,251,"Bank of America","VISA",6,2004,7,2018,"3768-6282-6319-4365",623276
252,252,"Citibank","VISA",3,2000,8,2021,"2678-4102-3800-4514",416314
253,253,"Citibank","MASTER",4,2004,8,2019,"4823-3482-9579-3297",521893
254,254,"JPMorgan Chase","AMEX",2,2000,11,2021,"4823-6221-7951-2284",388095
255,255,"Citibank","VISA",10,2003,2,2021,"2678-1669-6810-8183",38836
256,256,"PNC Financial Services","MASTER",8,2001,5,2018,"4725-8307-8562-7493",501297
257,257,"Morgan Stanley","VISA",4,2001,6,2021,"2678-9188-4412-5691",690495
258,258,"Citibank","VISA",10,2001,2,2022,"5214-2353-4928-2558",484841
259,259,"JPMorgan Chase","MASTER",9,2001,8,2022,"4329-2175-2198-3823",609652
260,260,"JPMorgan Chase","VISA",2,2004,2,2018,"4725-1092-1209-3795",928460
261,261,"Bank of America","VISA",6,2002,11,2021,"2678-9544-4890-1678",365522
262,262,"Citibank","VISA",11,2003,5,2021,"5119-4681-7867-4745",411562
263,263,"Bank of America","AMEX",2,2003,1,2020,"5119-7303-2514-2277",820272
264,264,"US Bancorp","VISA",11,2002,2,2018,"5214-8013-6308-6181",812007
265,265,"Bank of America","VISA",10,2002,6,2020,"3768-7093-2325-2350",587561
266,266,"JPMorgan Chase","MASTER",3,2004,6,2020,"5119-3664-4709-9370",454366
267,267,"Morgan Stanley","AMEX",4,2000,2,2019,"5873-2482-9565-8097",606237
268,268,"Citibank","VISA",1,2004,11,2021,"4725-3504-3879-5482",210072
269,269,"Bank of America","MASTER",11,2004,7,2021,"4329-4202-6905-3239",808868
270,270,"Citibank","VISA",4,2000,8,2018,"4823-2432-8426-1635",105922
271,271,"Bank of America","VISA",10,2001,10,2020,"5214-3653-6746-7117",322687
272,272,"Citibank","VISA",2,2003,4,2018,"5873-6838-1267-2493",774719
273,273,"PNC Financial Services","VISA",7,2004,9,2018,"4725-1168-5644-4155",955942
274,274,"JPMorgan Chase","VISA",5,2004,11,2022,"4329-8167-6485-5783",254477
275,275,"Wells Fargo","VISA",4,2000,3,2022,"4823-9833-2664-8363",551814
276,276,"Wells Fargo","VISA",10,2003,5,2021,"4725-7817-5394-9129",478921
277,277,"Wells Fargo","VISA",5,2001,7,2020,"5119-2750-5815-1668",525129
278,278,"Citibank","VISA",11,2000,8,2018,"4725-9724-6076-6202",322108
279,279,"Bank of America","MASTER",6,2002,2,2022,"5873-7756-3926-2017",940235
280,280,"Citibank","VISA",5,2003,10,2021,"5873-3163-3604-1313",782861
281,281,"Bank of America","VISA",6,2001,10,2018,"4823-8037-7175-8554",97466
282,282,"Wells Fargo","AMEX",2,2000,5,2018,"5214-1348-7440-4445",106123
283,283,"Morgan Stanley","MASTER",6,2004,6,2022,"4725-7870-4056-4795",922664
284,284,"Citibank","MASTER",4,2000,6,2021,"4823-9301-4656-4692",836742
285,285,"Citibank","MASTER",5,2000,2,2021,"4725-5143-3820-8083",251108
286,286,"Citibank","MASTER",3,2000,5,2018,"5119-3934-4791-5456",393107
287,287,"JPMorgan Chase","VISA",5,2004,9,2022,"4725-3888-1477-9834",681112
288,288,"Citibank","MASTER",6,2000,6,2022,"4725-9417-8002-8094",663914
289,289,"Bank of America","VISA",4,2002,3,2022,"3768-5526-2823-3458",223008
290,290,"Citibank","AMEX",6,2004,11,2021,"4823-1972-7355-5085",759694
291,291,"Bank of America","VISA",8,2003,8,2022,"2678-8649-8267-9708",77870
292,292,"JPMorgan Chase","VISA",4,2004,6,2020,"2678-5861-7567-8323",244352
293,293,"Goldman Sachs","VISA",7,2002,2,2020,"3768-1749-9385-7744",611560
294,294,"Wells Fargo","VISA",7,2004,2,2020,"4725-2633-2991-6988",247945
295,295,"Wells Fargo","VISA",9,2003,3,2019,"3768-2207-9975-5079",523470
296,296,"Citibank","VISA",5,2003,4,2022,"4823-8348-7334-8530",778705
297,297,"Bank of America","VISA",11,2000,10,2022,"5214-8740-2405-8043",958605
298,298,"Wells Fargo","VISA",11,2000,3,2018,"4725-9954-8787-2491",476037
299,299,"US Bancorp","VISA",4,2000,11,2018,"5873-4544-7814-5548",641868
300,300,"Citibank","VISA",11,2002,6,2021,"4823-2852-5360-6631",769360
301,301,"Citibank","AMEX",2,2002,1,2020,"4329-6024-3608-8540",354194
302,302,"Citibank","VISA",8,2004,5,2021,"5214-9637-1071-4159",956144
303,303,"Morgan Stanley","VISA",5,2004,7,2021,"4725-4171-1793-1141",435324
304,304,"Citibank","MASTER",11,2001,4,2019,"4725-1104-3914-5802",788789
305,305,"Bank of America","VISA",4,2002,1,2022,"4823-5079-3313-9077",608797
306,306,"JPMorgan Chase","VISA",9,2002,10,2021,"3768-1837-1529-5083",765246
307,307,"Goldman Sachs","MASTER",7,2000,2,2019,"4725-9850-7820-6975",292331
308,308,"Wells Fargo","VISA",4,2002,1,2018,"2678-7910-9321-9523",902063
309,309,"Wells Fargo","VISA",11,2003,7,2022,"5873-9609-3694-2276",210708
310,310,"Wells Fargo","MASTER",4,2000,1,2022,"5214-6531-3208-1553",636967
311,311,"PNC Financial Services","VISA",7,2003,7,2021,"3768-9337-1962-5037",18869
312,312,"JPMorgan Chase","VISA",11,2003,4,2020,"4329-5641-9648-3187",341759
313,313,"JPMorgan Chase","VISA",5,2000,3,2020,"2678-4175-7541-2819",297716
314,314,"Citibank","VISA",7,2000,6,2020,"5119-9112-3444-8731",717045
315,315,"Bank of America","AMEX",8,2004,3,2022,"4329-5929-8079-1719",797703
316,316,"Bank of America","VISA",7,2001,9,2020,"4823-3543-9702-5589",898283
317,317,"JPMorgan Chase","VISA",5,2003,6,2019,"5873-2395-9882-9314",191742
318,318,"Bank of America","VISA",11,2000,9,2018,"4329-3294-7441-6862",857486
319,319,"Wells Fargo","VISA",7,2004,4,2022,"5214-7488-1388-4197",87198
320,320,"Citibank","VISA",1,2001,2,2020,"4823-6444-9657-8368",147481
321,321,"Citibank","VISA",1,2001,2,2022,"4725-3399-7876-6469",573277
322,322,"Bank of America","VISA",4,2003,6,2021,"5119-8820-3222-9245",521731
323,323,"Morgan Stanley","VISA",9,2001,2,2018,"4725-8715-5440-5019",660823
324,324,"Citibank","VISA",10,2001,3,2022,"5214-1328-7910-5103",326470
325,325,"JPMorgan Chase","VISA",3,2004,4,2020,"4823-4178-2519-8854",867334
326,326,"JPMorgan Chase","VISA",5,2001,7,2018,"5119-1172-2874-5030",751694
327,327,"US Bancorp","VISA",9,2004,11,2021,"5214-9191-9764-5824",389713
328,328,"JPMorgan Chase","VISA",9,2004,7,2021,"4725-6754-1252-4482",29771
329,329,"US Bancorp","MASTER",9,2002,2,2019,"5119-2426-8242-2636",820807
